CEFR_Level,Text
A2,I don't think 20% layoffs
A2,"March 12,"
A2,"From Rajaa Hi X I am planning a party on Thursday 6th May, 1pm. I am sending out invitations to 30 of my friends and I hope they are all coming."
A1,I like to play piano
B2,"Dear Sir or Madam,"
A1,"I live in a little neighborhood. The people are friendly, and there are some good shops. There is a delicious coffee shop across the street. Sometimes"
A2,
A1,A light blue shoes - 17.99 A light blue t-shirt - 15.00 A dark orange dress - 19.99 A light pink jacket - 18.00
A2,"Hi,Dallon Thank for your e-mail. I can't surfing & scuba diving.because I think it's too dengerous. I want to try sailing,because it's relaxing and fun. I can't play any musical instrument. I like listening to music and singing a song.I'm looking forward to meet you soon. see you next time. Yoshitaka"
A1,"Our house is very beautiful. The neighborhood is very safe and quiet, but there are problems sometimes. The bedrooms are pretty big, but the bathrooms are a little small. The kitchen is modern, but"
B1,Last
A1,"In my office, there is a desk"
A1,"Dear Ms Thomas,"
A1,"Good evening. How are you? I'm fine, thanks. You're busy. Good night."
A1,
A2,"To: xxx@nini.com from: xxx@hhh.com subject: educational networking event. I just returned from an awful event in Bogot, despite there"
A1,"I'm sorry about the weather, but you are on vacation! No work! You should go shopping. You can go for a walk. How about a movie? There are many good movies now. What about a museum? I love"
A2,"Hi friends I was went to safery I see monkey Body covers fur It is beautiful form and fast move ,you like eat bnannes ,the monkey is friendly ,affectionate with children, the monkey you like leave in Mountains and desert ."
A1,So Paulo is a big city. The center
A1,"Hi! I'm sorry about the weather, but you are"
A2,I was born in 1973
A2,"There isn't so much to do in California today because it's gonna to rain all afternoon but don't worry! We can play video-game, buy a very delicious food to eat everybody. But in the next day we have a lot of things to do because it's a very hot day We can go to the beach play volleyball, go jogging, do surfing. It's very fun."
B1,"Ok, the instructions will be about soccer:"
B1,"Dear Nora, I haven't seen you for a long time, and"
A1,"Hi, My name is Huseyin. My favorite day is"
A1,I live in an
A1,Good evening. How are you?
A1,I go to a shop
A1,Good evening. How are you?
C1,"My friend Mike is a recruitment consultant. This guy radiates success. He is smart,"
A1,"The Huasteca region of Mexico is beautiful in summer. The weather is sunny and hot, but sometimes is rainy and cloudy. In summer"
A2,"I love movies. Eight years ago, I watched a movie called quot;Million Dollar Babyquot;. The movie was directed by Clint"
A1,"The city of Curitiba in Paran,"
A1,"I usually go to , objective and easy to buy anything"
A1,"HI!My name's Alina.I live in Moscow,Russia. Moscow is beatiful in summer and winter.In summer the weather is warm and sunny.We play basketball and goes park.In winter it's gold and sometimes snows.In winter eat out or meet friends.Autumn and spring is windy and rainy."
B2,The
A1,"Hi! My name's Osman. I'm from Turkey. I live in Istanbul. I'm fourty. There are five people in my family; My mother, my father, my sister, my brother and I. I can speak English, Turkish and Arabic. I can't French and Spanish. I can drive, ride a bike, swim and play football. I can't dance and sing."
A1,Good
B1,My career plan
A1,I really like my white shirt. I also like my black pants and black shoes. I like to wear black socks. I also like
A1,"My favorite day is Thursday, I get up 8 o'clock and take a shower. at 9 o'clock I goto club to play tennis. at 3 o'clock in the evening I have lunch, Go home at 5 o'clock."
A2,"I am going to go to a music festival in september. It'll many kinds of music. I went others year and it was very good. For this year I'm camping with my friends, we'll need buy a tent, a sleeping bag and flashlight. And we'll need put in our backpack, sunscreen and towels."
A1,
B2,DISCRIMINATION INFORMATION 1 - What kind of workplace discrimination are common? sex - marital status - gender 2 - Does every body knows how and in wich case the low should be applyed? 3 - In what situation could give rise to a claim for direct discrimination? 4 - And what situation could give rise to a claim for indirect discrimination? 5 - What cn constitute unlawful harassment? 6 - When a &quot;Conduct is only regarded as harassment? 7 - How to succeed in a victimized case of discrimination?
B1,"I think in the future the pollution can decrease,"
A1,"Hi, my name's Mayra. How are you? I'm fine. My phone number is 7980 1201. Nice to meet you. By."
A1,My name is
B1,"Dear Sr or madam Thank you for your answer; I'm very excited for the skydive. It will be my first experience. I read all the rules, understood and have accepted. I have been trained and learned well the procedures. I have been read all the advices about care with my heath and with the equipment. I know that if I damage some material, I will pay for the repair. I have a globel personal pack insurence. I'm sure that it will be a very interesting time and new experience. Thank you."
A1,"hi, my name is Johnny,i am thirty four years old ,i am from china i live in SUZHOU city there are five people in my family:my father ,my mother,my wife my daughter and i ,my mother is fifty nine and my father is sixty three. Have a nice day to you . nice to meet you . Johnny"
A1,In the
A1,My name is
A1,"Hi, My name's is Flavia, i'm twenty-two years. I'm from in Rome. Thanks for the correction this task."
A2,"Hi Dillon, Thank you for your letter and best wishes. I love surfing too, because it's too exciting. And I also like to swim, but I don't like scuba diving because it's too dangerous for me. I like sailing too. In my free time I usually play basketball with my friends. I like football but I don't like badminton. I can play the guitar and I like singing too. My favorite type of music is rock music. We can make music at the party. My friend Paul is choosing some rock music CD's for the party. See you next week. Terence"
B1,"In my country, people are very informal. Our culture are like the others westerns countries. Things like bring small gift to the host, thanks invitations"
A1,Hi!
B2,"My parents educated me that how much more I studied it would be easier to get jobs and build a good life. So, I have always studied a lot. I graduated at one of the best colleges in Brazil, was very difficult got in, but was very gratifying. Before I finished the college I had already entered in a Masters program, following the teachings of my parents. Currently, I am a Master in Architecture, Technology and City, although I have no job and I am still"
A1,
A2,
B2,"Dear Graham, I am thankful that you invited us to dinner, but I am afraid we are not going to be able to make it. We are having a party for Diane's mother at that time and it is going to be hosted at our house, so I think there is no way we"
A1,In my office are a lot of desks.
B2,"To help me with vocabulary I try to read as much as possible in international magazine, books, newspaper, internet. I also try to use English/English dictionary, flash cards and the estrategies used in this lesson. Advice I would give myself is to continue working hard to improve reading, speaking, writing, devoting adequate time for regular lessons from EF. I wish I knew more about keeping dialogue with native almost as a native."
A2,Dear Mrs Natalie! Thank you for
A1,In my office
A1,"I like to wear my red dress with my black shoes. My clothes are social, because my job requires. I have black sweaters, black jackets, red blouses and black pants. In winter, I wear my boots with skirts and pants."
B1,"I like our history! Around 18 years ago, I've been working in a hospital when the staff's always thursdays. Then, I met the new paediatrician. We were married"
A1,"Hi, my name's Guadalupe"
A2,Police
A1,I
A1,"Hello my friend; The online catalog has sneakers, shirt, shoes, belt, pants. Everybody by $335,99, buy? Please, check your sizes. Bye."
A1,"Hi, I'm Connie my phone number is four two seven one zero one zero one."
A1,"Hello! Fine,thank you. My name's Hongxiu Cui.I'm thirty one. Goodbye! Hongxiu Cui."
A1,"My name's Fernanda. My favorite day is saturday. I don't work and I have all day to do everything I want. I go shopping, I watch movies, I meet friends and we go to parties. It's a pretty good day."
C1,"In my opinion, the solar power could be the renewable energy for our city. All year"
A1,Dear Mr Thomas
A1,"I'm Dylan,"
C1,"Dear, Mr. Jim Bacher. According with your instructions, given in the meeting held on December 20, 2013,"
A2,"Dear friend - I go to the vacation a week. Thank you for your help. I always water the plants every morning. My dogs like play games and walk,so I walk the dogs twice times a day. Feed the food for dogs and birds twice times a day. Feed the food for fish in the afternoon three times a week on Monday,Wednesday,Friday. Check water for birds on Tuesday and Thursday. That important for take out the trash on Tuesday. Again,thank you for help."
A1,"Topic:????? ???????????? Her weekend is busy,"
A1,PANTS US$ 20
B1,This is one of Josh Woodward's early songs
A1,Hi My name's Carmen. I'm forty-seven years old. I'm from Brazil. I live in Brazil. There are eight peoples in my family. I am Lawyer. I have a daughter.She's seventeen years old. Bye
A2,"I work in the city center of milan, my work it's ok i take the braek i speak whit more people it's very exciting. I never go on business trip, i work every day in the same place i don't like this situation. at the end to working day i'am veri tiring and boring."
A2,"March 07,"
B1,"Last month I bought one laptop computer, the first price that I've got was US$1000, but it was too expensive. I"
A1,My neighborhood is a little small. There are many little shops. There are four
A2,"Hello! Sean plays basketball every afternoon, then he plays computer games at 6 pm. Sean watches movies only on Saturdays at 5 pm. Granny does gardening in the morning and sets the table at 6 pm. She does laundry on Tuesday afternoon. Our dog walks at 8 am, afternoon and at 5 pm every day. I wish you will have plesures weekend with my family! Good luck!"
B1,Dear
A1,I'm from Argentina. I live in Neuquen. My house's
A2,Dear
A1,"In Itabira, Brazil, autumn is rainy and cold. We play golf and soccer."
A1,Salvador is
A1,Shery will contect Alisson Bright from Big Hat and ask her about theri qruirenmens by next week's meeting. Alex and his team will bringstorms posible ideas for advatisement by next week's meeting. And we will have a office party the end of the month and choice the Japanese restaurant. Sam will book a table for a team.
A2,"Dear friend,"
A2,I had an accident last month
A1,My name's
A2,On
C1,"First of all I want, to say good night for all my future electors. I'm preparing to be a council president, since 8 years ago, and now I have the age to be. During this time, I could learn about our problems chers, I will put in practice a new libray, and the acess will be free for all, as long as we want more physical classes, together we will implement it. I'm convinced that if you vote me, I'will do the best of me to make your college better. No one, than me, know more this college, because I'm for a time, and I know the best for us. I invite you to vote me for councial president. Best regards. Thiago Santos"
A2,Hi
A2,"I'm a sales manager.I work in a auto company of China. everyday I talks on the phone with my client. there is so many calls.I'm very tired for this. sometimes I goes on busines trips of China. and have meetings If i stay our company. so.I'm very tired,I'm feels very boring.I'm want to change work.I'm want to take break."
A1,Name:
B1,"Name of the travel company: Blue Cruise Alaska I want to make a complaint about the Blue Cruise Alaska. The ship wasn't new and wasn't a cruise ship, is little and slow. It was ants in the cabin and the beds were uncomfortable. bathrooms were dirty and disgusting. The captain was unfriendly and he wasn't very professional; he woke up late every day; The ship had problems with its engine, and I waited one day to repair. We didn't seen most of the animals described in ad. There were extra charges."
A1,- Thirty pens; - Fifteen pencils; - Twelve desks; - Fourteen chairs; - Thirteen computers; - Sixteen headphones and one table. Good bye.
A1,I like shopping in the online store. Their
A1,"Jeremy,"
A1,Hi! My name's Alessandra. I live in Brasilia. Its the first time that I make English. Im liking very Englishtown.
A1,"The online catalog has brown pants, white and blue shirts, pink sweaters, brown belts, black shoes and white sneakers. Do you want me to order these things for you? The total order price is $335.99"
A2,I was born in 1989. I graduated from
A2,"I was born in 1969. I graduated from high school when I was 18. I got my first car after I graduated from university, when I was 24. I moved out of my parent's house after I graduated from high school, at the beginning of my university years. I met my wife when I was 32, and got married in 1997. I had my first child in 1999. Now we have three sons."
A2,"Hi Valentina, I'm planning a part in May on Thursday 6th, at 1pm. The place is No.# Yellow Street. I sending out invitations on Facebook to 30 of my friends and I hope they are comming. There'll be chicken sandwiches and water and wine. There'll be the best dance music. I hope you come, it'll be a lot of fun! Leidi."
A1,"Hi! My name's Tian Surong. I'm twenty-three years old. I'm from Hunan,"
A1,
A1,"In my country, the price of everything is going up. Utilities is very expensive, and the price of food is increasing quickly. The cost of"
B1,"Last year,"
A1,Hi
B2,"The author starts saying that suffering from career path confusion is a common occurrence in life. Actually, he states that the average person is likely to change a career path five to seven times throughout their lifetime. He believes that if you're going through it a great way of avoiding blundering into the same predicament all over again is to match your personality and interests to a profession. He asserts that you should learn what jobs are best suited to your personality and interests and that once you have discovered what it is that would make you happy at work, you must go online and take one of the many career tests that are available to the public for free. It's a good book in general but way too simplistic."
A1,Good
A2,There wasNow the owner dog shot by polica was never a threat.
A1,"Hi, My name's Marcos. I'm thirty-six years old. I'm from Brazil, I live in Brazil. There are six peoples in my family, my wife is thirty-seven years old, my three sons and my daught. We are live in Rio. Goodbye"
A1,Hi
B2,1/ Security aspects - technical security - user security 2/ What are the problems? - open interaction - be careful with chatting 3/ With who
A2,I was born in 1993.
A2,"My name is Enrique. I live in Orizaba, but"
A1,The Rock in Rio is my favorite. The big
A2,"June 07, 2013 Dear parents,"
A1,Hi!
A2,
A1,"On the Saturday, he goes swimming pool at twelve thirty, in the morning. At half past twelve he eats lunch, in the afternoon. He reads emails at 4 o'clock and at 6 o'clock he eats dinner. He watches TV at 10 o'clock, at night. He goes to the park at 11 o'clock, on the Sunday. At half past eleven he plays tennis, in the morning. He goes to bed at 10 o'clock, at night."
A2,
A1,I'm a sales manager now.
A1,"In the office, there are a few"
A1,"Hi, my name's Vinicius. I live in Brazil. I like riding a bike, swimming and fishing. I can cook. I like music, but"
A1,"Hi. My name's Angsumarin Namkham. I'm 34 years old. I'm from Thailand. I lives in Hasvik Norway. I'm an assistant nurses. I work i a hospital. I like my job and i like my colleagues,they er very kind. I'm married. We have two sons. they are 15 and 4 years. they go to school. They like to school. My husband is a fisherman and he works at sea. His job is heavy, it is often bad weather. but he likes his job. He thinks there is much freedom of work. With kind regards, Angsumarin."
B1,
A1,"Good evening. How are you? I'm fine, thanks, we're busy. Good night."
A1,"Hello! I'm Andrey from Russia. I can plaing the accordion and can saksafon too. I can't cook, but I like eating. I like swimming, yoga, football and hockey. I don't like warching TV, but I like reading."
A1,My
A1,I like
A2,"This Friday night, there is going to be a concert, quot;Pop Musicquot;. Many singer will attend this party. This concert starts at 7 p.m. It's at Tai Cang. 500 RMB a ticket."
A1,"hi! My name's steven,I'm thirty-seven years old. I live in markham canada,but i from fuqing in china. Nice to meet you! See you!"
A1,"I am sorry about the bad weather,"
A1,My Cook and Me My favorite
A1,"In the office, there are some computers."
B1,I've never experienced anything like that before 5.
A1,"I''m sorry about the weather. You should enjoy your vacation going to a museum, go shopping and try to make new friends. How about going to a bookstore and"
A1,"Most people in my county love watching football,"
A1,"Good evening. How are you? I'm fine, thanks."
A1,My name is Pablo. I live in Rio de
B1,When I met my husband
A1,"Oh, I"
B1,In
A1,"Name: Marco Age: 29 Like doing: surfing the internet, playing tennis, singing lives in: Xuzhou, China Favorite Season: spring Animal: dog Time: evening Day: Sunday Numbe: 8"
A1,Hello
B1,"We are looking for a new Regional Marketing Manager for John Tiles Ltd. This is a well known company in Manchester. We produce a lot of different tiles. The overall job duties are design advert, managing projects and work together with sales to build a increase client base. The minimum job requirements are a BA in Marketing or similar. We also expect a 3 years experience in this business. The salary range will be from $ 35,000 to $ 40,000."
A1,My neighborhood is small and cool. There's a market. There's a
A1,I live
A1,"My name's dominique.Im motorbike instructor My favorite day is sunday.I get up at eight o'clock in the morning. on sunday I have breakfast and have a shower,brush my teeth and go running.I have lunch at twelve o'clock. in the afternoon.I swim to sea .In the evening I go the movies I go to bed at ten o'clock in the evening."
A1,Hi!
A1,The prices in my city
B1,"Hi, I have been working for 45 years and next year my wife and I will be both retired. I dream to travel around the world and see how people live. To begin with, my son wants us to come"
B1,I
C1,I really admire how Jesus led a crowd and his disciples. He was a really successful leader. He could deal with so many different personalities. And it was amazing how
A1,Hello my name's BERNARD I'm fiffty-six years old I'm from FRANCE I live in ANTIBES I'm an salesman I work in an department store I like my job
A1,"Also, there are thirty pens and fifteen pencils. There are twelve desks with fourteen chairs. then, there are sixteen headphones and there is only one table. Best regards, Guillaume"
A2,"September 3,"
A1,"In my office,"
A1,"Hi, my name's Shingo. I'm from Japan. I live in Miyagi. I'm twenty-nine. There are four people in my family: my wife, daughter, son and I. My wife is twenty-nine. I can speak Japanese and a little English. Bye! Shingo."
A1,"Dear teacher, Hi, On saturday, my friend goes swiming at 11:30am. He eats lunch at 12:30pm. He reads emails at 4:00pm. He eats dinner at 6:00pm. He watches TV at 10:00pm. On Sunday, he goes to the park at 11:00am. He plays tennis at 11:30am. He goes shopping at 3:00pm. He goes to the cinima at 8:00pm. He goes to bed at 10:00pm. Bye. Jerry."
A1,"Hello Teacher. My name's Alexandre Guedes, I'm 33 years old, I live in Itajub - Minas Gerais - Brazil. I'm"
A1,
A1,"Hot Goianesia. In Goianesia, Brazil is hot in spring, summer, autumn and winter. We play soccer, volleyball and other soprts all year. We wear shorts, T-shirts, skirts and summer dresses almost all the time. Sometimes it rains in summer."
A1,
A2,"December 12,"
A2,December 96 Dear
A1,pink jacket $ 50
A1,The store ha
A2,This weekend
A1,"Hello,My name is sally.I come from shandong province.I'm 20 years old now.I like learning English ,and Ilike tralving and reading very much.They bring me much fun, enriching my life.I want to go to The Great Wall at present.I think my drea will soon"
B1,"In four years' time, I'll finish chef's school. I'll get a job after that, probably at Alter do Cho, a nearby restaurant. However, I don't want to work there for a long time; my intention is to open my own chain of restaurants. To help me open my own chain, I'll apply to"
A2,I work in the George Mason University I work in the housekeeping deparment I like my job because I can help other peoples I have a schedule only at the weekdays and I work 8 hours a day my partners are really amazing because whenever we need help someone is willing to help
A1,"In Catalo, Brazil, summer starts in December. Summer is very hot and rainy. We wear T-shirts, skirts, shorts and summer dresses. We go to the park and play soccer. In winter, Catalo is cold. We wear sweaters and hats. In spring,"
A1,I'm Adriana. I'm 29 years old.
B1,"Claudia Moran/ Mexico It''s difficult to say what is happening with a celebritys marriage; the media spread a lot of gossip around this people. In some pictures it could see like they are happy, but if Alana said they were separated, I believe her. I am not sure if Gavin has been cheating, but in that environment is so common. Now days the couples get marriage and in few months they are divorced. The scandal is a fact and maybe is what they want to have publicity. I hope they continue and fix their relation. I don''t like to talk about any gossip, I need to have real evidences to give an opinion."
A1,"Hi, can you buy me: A bottle of red wine some carrots some potatoes Three bananas a loaf of bread a bottle of water"
A1,"Hi,Ed, We should buy flowers ,chocolate and books for teachers birthday. I dont buy phones,earrings and dresses because our teacher does not like them."
A1,Hi
A1,"Dear Jane, Further to our last telephone conversation, I am pleased to inform you that you will officially start on Monday 30 August. I will show you around upon your arrival, and will introduce you to the teams and departments. From 11.00am to 1.00pm, a short meeting has been set up soas to briefly describe the history of Sound and Vision to you. Then, finally, we will have lunch in the company restaurant with your new team. Welcome to Sound and Vision, and I look forward to seeing you next Monday. Best regards, HR Manager"
A2,Our
A1,The pink shirt: 45 dollors The black skirt:35 dollors The orange dress: 100 dollors The red pants: 100 dollors The light blue pants: 100 dollors The dark blue pants: 120 dollors The light blue T-shirt: 60 dollors The dark grey T-shirt: 50 dollors
A1,what is your name my name's joe what's your phone number it's 388 7883 i am ken i'm ken
A1,"Dear Ms Thomas,"
A1,Rainy Peterburg.
A2,"Hi my friend, Thanks for your suggestions. I"
A1,"Hi,"
A1,"The film festival in Gramado/RS in Brazil is my favorite holiday. This big festival lasts for one week, in the gorgeous city with beautiful flowers and typical food. It's crowded events every day. They have"
A2,"I owner a little company. We support very difficult softweare. Hotels and some restaurants our clients. We teach people how right use property management softweare. Sometimes we fix bugs which find our client and programming. Some years ago I liked my job, but now I only take money and I wants found interesting and exiciting job."
A1,I live with my parents.
A1,"Good evening. How are you? I'm fine,"
A2,"Dear Julia, I'm very"
A2,My name is Stanislav Malkanov. I was born in 1978. I started elementary school in 1985 when I was seven years old and I started playing football when I was only 6 years old. After I
A1,"I live in Salvador city. There are a lot of buildings, an expensive park, and some shops. The streets in Salvador are"
A2,I water the plants three times a week. Please
A1,"Hi, my name is Gustavo. I'm twenty seven years old. I'm from Brazil. I live in Belo Horizonte. I'm a network manager. I'm"
A1,I live in a little village near Troyes in Aube. There are about
B1,"Hello Tom! It's nice to hear you again! what amazing experience you had there! Surely you won't forget it! About me, me too I went on holiday this year, I've finally realised one of my biggest dreams, I went to London for the first time with my boyfriend and I found it just as like I imagined it: beautiful! You know, the funny thing for me is that while we were moving by bus from the airport to London we met an Italian classroom who was doing a school trip and we had the possibility to hear their teacher explaining them all the particular features of London, so we had a free tourist guide! London is really beautiful, I raccomend you to visit as soon as you can!It's all for now, I'll be waiting for other news about you, take care. Rita"
A1,I like go to the lunch a Vips. I like fruit
A1,"Hi, Teacher"
A1,The
A2,"Hi friends, Monkeys are more beautiful animal. Monkeys are playful than Lions. Lions are more scared than Monkeys. Monkeys are dirtier than tiger, also likes shower in the lake. Monkeys are smaller than giraffes. Sometimes Monkeys staying in the tree.Monkeys are not scary and dangerous as Lions. Monkeys eat bananas a lot. See you soon ! Vladimir"
A1,Rio de Janeiro is my hometown. Rio is also
A2,"Mari, i get up at 9:00am. Please set the table for dinner. I go out at 10:00am because always I have a meeting in the morning. Sometimes I have a lunch at house, please set the table on Thursdays and Fridays. In afternoon I walk the dog. Sometimes, in the evening, I go swiming."
A2,I was born in 1947. I
A1,I'm from china. I can cook but I don't like cooking. I like singing and dancing. I like walking but I don't like doing sports. I can ride a bike but I can't drive a car. I can blow the harmonica and like listening to music.
A2,"I first met my best friend, Rapal, 3 years ago. We were"
A1,"Hello, my name's Leonardo. I'm starting"
A1,I like
A1,
A1,"Dear Jean, The Bon Gusto has good"
A1,"Dear Ms.Thomas, There are 13 computers and 16 keyboards in the office. Also, there are thrty pens, fifteen pencils, twelve desks, forteen chairs, thirteen computers, sixteen keyboards, sixteen headphones and one table. thanks, Adalberto"
A2,"Sorry, I am going"
A2,I was born in 1972. I graduated from Brera's University when I was 21 years old and then I got my first car. Two years
A1,"My name is Izabel. I'm sixty-one years old. I live in Sao Paulo, Brazil. There are ten"
A1,"Hi! My name's Carlos. I'm thirty-five years old. I'm from Maceio, in Brazil. Nice to meet you too. Bye!"
A2,Pros and Cons. The staff don't want to move
B2,
A1,"Music to the ears. I love listening to music. I listen to music every day. I do not play any musical instruments, but I like to sing. My voice is not music to"
A2,In my family we're four
A2,Dear Julia! I'm very angry because I did most of the chores this week. On Monday I did the ironing and washed the dishes. The next day I made the beds and washed the dishes again. On Wendnesday I washed the dishes one more time. On Thursday in the morning I paid the bills too. The next three day I continue cleaning the house alone and did the shooping too.
B2,
A2,The LakeTai is my favorite restaurant. They serve authentic Chinese Suzhou food. They have many different appetizers and entrees. The
B1,"Hi Lisa, I really wish you were here to have this conversation personally. Do you remember our last neighbor Maria? She told me that"
B1,
A2,It's your birthday soon! What do you want to do for your birthday?
A2,Hi Julia
A1,
A2,Please water the plants and feed the birds every morning. Walk the dogs twice a day but don't take them out in rain. Play with the dogs. Cheak the birds'water on tuesday and thursday. Please feed the flish in the afternoon. At least don't forget to clean the house and sweep the floor at least twice a week. Thanks fou you very much.
B1,"Congratulations baby girl. Today is your graduation day, your parents are happy so am I, I hope you are a inspiration for your youngers brothers ans sisters, You have your special set phrase &quot;never give up, the succes is great. Now you have your whole futere in front of you. Your are your own limit. Enjoy the moment, be happy, sometimes I think you would travel before looking for a job, today in your graduation party shall we dance our song?"
A1,"Hi Sue, I'd like see you, but sorry, I'm busy"
B1,I first met my fiance
B2,I recognize I
A2,To: xxx@CH.com; xxx@CH.com; xxx@CH.com From: xxx@CH.com Subject: Summary of quality weekly meeting Dear
B1,In
A1,"There are thirty pens and fifteen pencils. Also, there are twelve desks and sixteen keyboard and sixteen headphones. There are fourteen chairs and one table."
A1,"Hi,"
C1,Hallo
A1,"Hi,"
A1,Name: Gilson Santana
B2,Snowboarding I started when I was just a kid. It is better to start early because little
C2,
A2,"Dear Polaris,"
A1,"In my country, the price is going up. The cost of living is high, but most people"
A1,"Hi my name's Myriam. I'm fourteen years hold . I'm french but I speack English and spanish. I'm tall. I'm joyful,and always happy :D bye Myriam"
A2,"Hi Jack, I'm planning a party in my house in June. I'd like get yours rock music CD's. My cousin is bringing me a drinks and the cake. The drinks are free, but you need bring me a present. I'd like of a notebook or computer games. On Friday I'll clean the pool and I need your help. Invite your family to my party. Thank you."
A2,"The backbone of any economy are producers. They are represented by enterprises or firms. The aim of producers is to supply goods and services, seek profits, and compete successfully with one another. To"
A1,Hi!My name's Jely.I'm from Sichuan China. I live in Sichuan. I like doing yoga and sleeping. I can sing and dance .
A1,"I work with Gustavo. He's from Rio de Janeiro, Brazil. He is very intelligent. He is very short, funny and friendly. He works doing websites."
A1,Shopping list: ---black pants 39.99 dollars L ---white shirt 30.00 dollars M ---brown shoes 59.00 dollars 9.0 --- pink dress 69.00 dollars S ---belt 29.00 dollars M ---blue shirt 30.00 dollars M ---new sneakers 79.00 dollars 9.0 Receipt: 335.99 dollars
A2,June
A2,"To: xxx@rocor.com; xxx@rocor.com; xxx@rocor.com From: xxx@rocor.com Subject: Summary of employees meeting Dear team, Here's a summary of our employees meeting: *Robin asked how many"
A1,"Hi Rosa, I'm really sorry. I'm very busy right now I receive a delivery from nursey garden and I'm gonna work all day outside in my garden."
A1,"I love shopping at the mall, where they have several kinds of stores, but those are"
A1,Magaret Kendall phoned you fot an appointment to La Maison Restaurant (phone ### ### ####) for lunch : Tuesday 12th.
A2,This week
B2,"Slaves of Money In the top of the Spring Mountain, there was a large, luxurious house, which was surrouded by a dense forest. Mr thorne, an elderly, stingy oil tycoon, and his daughter, Caroline, lived in there. It was a very ordinary day. Early in the morning, when people were sleeping, a miserable scream broke the pease. Emily, the maid of Mr Thorne, who sent coffee to Mr Thorne as usual, found him lying in the pool of blood, with a jewel-encrusted dagger inserted in his body. Rumors spread in the crowd, but almost all the doubt pointed to Caroline, the only daughter of Mr Thorne, who was adopted 20 years ago. She's a unruly, wayward young lady, but fell in love with a poor boy, which met with his father's strong opposition. Mr Thorne had even threatened to deprive her of the inheritance. Because of that, Mr Thorne and his step daughter fell out and became enemies. After the police investigation, the result beyonded all expectations. The murderer was not Caroline, but the young maid, Emily. She, who had an affair with Mr Thorne, killed the old man for the money. Poor Mr Thorne, lived for money and died from money. It seems that his life is closely linked with money. What a slave of money!"
A1,"Hello my friend's!... How are you?. I would like to cook for you. This is menu: Starter: Tomato soup, Noodles, Rice. Main course: Fish and vegetables, Beef and Potatoes, Chicken and Cheese. Dessert: chocolate cake, Ice cream of vanilla, fruit cacke, salad of fruit. Drinks: Juice of orange, Coffee, Tea, Beer, Water, Wine. See you soon! Sairet."
A1,My boss is very
A1,"In my office, there"
A1,I usually shop in online
A2,August 28
B2,"A fictive friend of mine has bought a small house. He is not loaded, but he has a roof over his head for his family with two children. The mortgage for his house is not payed back to his bank until now. He has no other loan at the moment. When he is strapped for cash, he can"
A1,My name's Darlan. I'm Twenty-three. I have brown eyes. I have black hair. I'm tall and slim. I have short black hair and small brown eyes. I also have a big mouth.
A2,"ABC Insurance: Two days ago, my home was robbed. When came for my lunch at my home because forget bring lunch at my work. I saw broken the window and lock broken the door of my house. Then I saw place on the TV and computer don't were ago. Then I called the police for report the stole. Thanks for help me."
A1,"Hi, my name's Elizabeth. I"
A1,"Hi Gerald, I have some good news. I explained to Roland that our policy has changed due to tax increases and the price of gas. As our strong side, I called the high quality and regularity of supply. He agreed with my"
A1,"Hi! My name's Frank.I'm from China.I live in Fujian.I'm twenty. There are three people in my family:my father,my mother and I.My father's forty-one my mother's thirty-eight.We live in Xiamen,China. I can speak Chinese and English.I can ride bike,drive,sing,swim and cook. I can't play tennis.I can't ride a horse. Bye! Frank."
A1,OYKU INVITES YOU TO HER BIRTHDAY PARTY
B2,"Nowadays, in Brasil, we perceive the most of women engaged in the work market. But, despite of the so called quot;right equalitiesquot; women are still in disadvantage when it comes do earning money, or salary levels. It's is true that we have some visible progress on this gender equality matters, so our President is a woman! But, like the other quot;"
B1,"In Brazil, it is not uncommon for older people returning to college courses. I am an example. I went back to college at 43 and graduated at 48. Also common is the use of electronic devices in the studies. Right now I'm studying English online. It's good because I can study whenever and wherever I want. Some universities are public and others private. Private colleges are easier to pass than the public. Public universities have more complex tests. However, most of them apply tests every two months. But,"
A1,My name is Anderson. I live in Brazil. I get up at 7 in the morning. I take a bus at 8 o'clock. I get to work at 9. I usually go home at 10
A1,Hi!
B2,"Dear Loan Officer, I am writing to request for a personal loan of $5000 from your bank. I need the loan to help pay for improvements to my property which is currently under a mortgage. I am currently employed as an administrator at King Log Company"
B1,"My friends and I recently ate at a restaurant called quot;El Yucatecoquot;. The restaurant did not make reservations, assigned places as is reaching the people"
C1,A once in a lifetime opportunity! This fabulous apartment is located in the picturesque Pacific Heights. It's just within a stone's throw of the 'Great
A2,The Dress Code.
B1,By the time
B1,"My feelings about the future are optimistic. I believe that in the future things will be easier. In this way I can say that we will have more technologies to help us in our daily activities. In addition to this, I believe that the next generation will be more conscious about the environment, trying to rethink their"
B2,Are there still some differences between males and females? Yes
